generation,at_seconds,validation_solved,validation_mean_charged_expansions,holdout_solved,holdout_mean_charged_expansions,source_sha256
0,0.8380453570000554,58,768.3828125,112,773.2578125,f675443b54de88bcef3e954b4eded898ec04ebfc8a30543c55dc731855809ac5
1,1.4699774279999929,243,153.3046875,480,157.01171875,fcee213da2a425e08d2f9d978bc469fc769f7b92edd17e0f9f4c29cbc2d86e03
2,3.538006174999964,252,107.984375,501,114.552734375,6b2c3d5658dc8d35041733e92ddd239d2c31e3057cb2d732765d22eb8d8c6143
3,3.874216803999957,256,76.43359375,509,81.5234375,f913a6a9e37661e31fcbc9538f9c0637c5a5115c5399c78c17ac3aad019e496d
4,5.014656033000051,256,63.79296875,511,66.79296875,77f40643f842885a6f41424fe0901fe2e35b04cc9585ca3307f9c381362da753
5,6.613279472000045,256,62.83984375,511,65.0625,9c7edf0248647e1da4035eaad64cc04dafd81515c34a4aeccf0d3ee6a6b3ac4b
6,9.680633767000018,256,62.8359375,511,65.060546875,b95d63ac9982ad39daa0998418686899e33855972cbed14eaf0b97d243a1cdd4
7,10.402601136000044,256,62.70703125,512,64.984375,6e17aa1fa35f48e42f3bd0becb88bc512f23955544919d2a19bb0adcb9b0403f
8,10.74319949200003,256,55.26953125,512,56.462890625,d2a6ee4fe62a6a465927e8328063479bdc004cd4a71ba4fca359f8e1fce248ff
9,12.755939965000039,256,55.265625,512,56.4609375,99fa34fd1eea5da9cf464bc25dfd55a22cf9c24a9ea74cb5fd75ab89ce7faece
10,24.996342580000032,256,35.75390625,512,38.3359375,1457a8a46d6073c8b5b25da78a5b91763146c158d2c55afc03b1ad02acb95c0d
